CS(=O)(=O)Cl.OCCCBr	CS(=O)(=O)OCCCBr
Br.CC(=O)c1ccccc1C	Cc1ccccc1C(=O)CBr
CC[Zn]CC.O=Cc1ccccc1	CC[C@@H](O)c1ccccc1
CCOC(=O)CCCCC(=O)OCC	CCOC(=O)C1CCCC1=O
O=C(CF)C1(F)CCOC1=O	CC(=O)C1CCOC1=O
CC(=O)O.Cc1ccc(O)cc1	CC(=O)Oc1ccc(C)cc1
CC(=O)Cl.CCCCCCC(C)N	CCCCCCC(C)NC(C)=O
COc1ccc(C=CC#N)cc1	COc1ccc(CCC#N)cc1
C#CCCCC.C=O.[Li]CCCC	CCCC/C(C)=C/CO
CCCCCC(O)CC=CC(=O)O	CCCCCC(O)CCCC(=O)O
O=C(O)c1cc2ccccc2s1	O=Cc1cc2ccccc2s1
O=C(O)c1ccncc1S	OCc1ccncc1S
CCCCC=CC(C)(C)C(=O)O	CCCCCCC(C)(C)C(=O)O
COC(Cl)Cl.COc1ccccc1F	COc1ccc(C=O)cc1F
CO.Cc1ccc(O)cc1C	COc1ccc(C)c(C)c1
BrCc1cc(Br)cc(Br)c1.O	O=Cc1cc(Br)cc(Br)c1
CCC=CCCCCCCCC	CCCCCCCCCCCC
CCCCCCC(=O)Cl.CNOC	CCCCCCC(=O)N(C)OC
CCOC(=O)c1cnc(SC)nc1	CSc1ncc(C(=O)O)cn1
CCI.Cc1ccc(C#N)cc1O	CCOc1cc(C#N)ccc1C
COc1cc(CBr)ccc1C#N.N	COc1cc(CN)ccc1C#N
COc1ccc(CCCN)cc1	COC1CCC(CCCN)CC1
NC(=O)CC[C@H](N)C(=O)O	NC(=O)CC[C@H](N)C(=O)O
C1CNCCNC1.Clc1ncccn1	c1cnc(N2CCCNCC2)nc1
C=O.O=C1C=CC(=O)N1	O=C1C=C(CO)C(=O)N1
O=Cc1ccc2c(c1)CCO2	OCc1ccc2c(c1)CCO2
O=C(O)c1cc(I)ccc1O	OCc1cc(I)ccc1O
C=CCNC.OC/C=C/CBr	C=CCN(C)C/C=C/CO
ClI.O=Cc1ccccc1O	O=Cc1cc(I)ccc1O
CCOC1(OCC)CCCCC1	CCOC1=CCCCC1
C1CO1.COCCN(CCO)CCO	COCCCN(CCO)CCO
Nc1cc(Cl)ccc1O.S=C=S	Sc1nc2cc(Cl)ccc2o1
CCCCOC=O.COc1ccccc1	CCCCCCCCCO
O=C(CCCBr)c1ccccc1	BrCCCCc1ccccc1
O=C(O)CCCBr.c1ccccc1	O=C(CCCBr)c1ccccc1
CCC(N)CO.O=C(Cl)CCl	CCC(CO)NC(=O)CCl
CN1CCNCC1.OCCCl	CN1CCN(CCO)CC1
ClCC1CO1.OCc1ccccc1	OC(CCl)COCc1ccccc1
CCO.O=Cc1ccccc1	COC(=O)c1ccccc1
CNCCO.OCc1cc(Cl)ccn1	CN(CCO)c1ccnc(CO)c1
CCNCC.O=C(Cl)/C=C/CCl	CCN(CC)C(=O)/C=C/CCl
CO.N#Cc1ccncc1.O	N#Cc1ccnc(CO)c1
C1COCCN1.ClCc1ccncc1	c1cc(CN2CCOCC2)ccn1
c1cc(CN2CCOCC2)ccn1	CCN(CC)Cc1ccncc1
CC(=O)c1cc2ccccc2cn1	CC(O)c1cc2ccccc2cn1
CC(=O)c1nccc2ccccc12	CC(O)c1nccc2ccccc12
II.Oc1cccnc1Cl	Oc1ccc(I)nc1Cl
CN(C)CCS.OCCBr	CN(C)CCSCCO
C=C(CCl)CCl.OCC(S)CS	C=C1CSCC(CO)SC1
C=C(CS)CS.CC(C)=O	C=C1CSC(C)(C)SC1
CCCC1CSCCC1=O.NO	CCCC1CSCCC1=NO
N#CC1CCNCC1.[OH-]	NC(=O)C1CCNCC1
N#Cc1ccc(F)s1.O.[OH-]	O=C(O)c1ccc(F)s1
C1=CCCC=CCCC=CCC1.OO	C1=CCCC2OC2CCC=CCC1
Cc1coc(CO)c(C)c1=O.N	CC1=CN=C(CO)C(C)C1=O
CCCCC(OCC)OCc1ccccc1	CCCCC(O)OCC
BrP(Br)Br.CCCCC(O)OCC	CCOCCCCCBr
BrBr.COc1ccc(N)cc1	COc1ccc(N)c(Br)c1
Br.OCCCCCCCCCCCCO	OCCCCCCCCCCCCBr
CC(C)=O.O=CN1CCNCC1	CC(C)N1CCN(C=O)CC1
Nc1cc(Cl)ccc1O.[I-]	Oc1ccc(Cl)cc1I
COC(=O)C1C=CCN(C)C1	CN1CC=CC(CO)C1
COC(=O)C1=CCCN(C)C1	COC(=O)C1=CCCNC1
C=C(C)CC(C)(C)C.Cl	CC(C)(C)CC(C)(C)Cl
O=CO.OC1CC2C=CC1C2	OCC1CC2C=CC1C2
COc1cc(I)cc(OC)c1	Oc1cc(O)cc(I)c1
C=Cc1cc(OC)cc(OC)c1	CCc1cc(OC)cc(OC)c1
CCc1cc(OC)cc(OC)c1	CCc1cc(O)cc(O)c1
COCCl.COc1ccc(F)cc1Cl	COc1cc(CCl)c(F)cc1Cl
CCOCC.Oc1ccc(O)cc1	c1ccc2c(c1)CCCO2
BrBr.COc1ccccn1	COc1ccc(Br)cn1
CO.O=C(O)Cc1ccccc1Cl	COC(=O)Cc1ccccc1Cl
CO.O=C(O)Cc1ccccc1Br	COC(=O)Cc1ccccc1Br
C=CCI.CCc1ccccc1Br	C=CCc1ccccc1CC
O=C(O)CC1CC2CCC1C2	OCCC1CC2CCC1C2
O=CCCCC1CCCC1	OCCCCC1CCCC1
O=C1Nc2ccc(F)cc2C1=O	O=C1Cc2cc(F)ccc2N1
COc1cscc1C.OCCBr	Cc1cscc1OCCBr
COc1ccsc1.OCCBr	BrCCOc1ccsc1
Clc1cc(Cl)c(Cl)nc1Cl	Clc1cnc(Cl)c(Cl)c1
Clc1cc(Cl)c(Cl)nc1Cl	Clc1cnc(Cl)c(Cl)c1
COc1ccccc1CCl.OCCCCl	COc1ccccc1COCCCCl
CCOP(=O)(CCBr)OCC	C=CP(=O)(OCC)OCC
CNN.O=Cc1ccc(Cl)cc1Cl	CNN=Cc1ccc(Cl)cc1Cl
COC(=O)C1CC(CC#N)C1	N#CCC1CC(C(=O)O)C1
CI.OCc1cccnc1	COCc1cccnc1
CN.O=C1CCCc2ccccc21	CNc1cccc2ccccc12
CN(C)C=O.Cc1ccoc1C	Cc1cc(C=O)oc1C
N.O=C(O)CCCCC1CCCCC1	NC(=O)CCCCC1CCCCC1
O=C1CCCO1.Sc1ccccc1	O=C(O)CCCSc1ccccc1
CC#N.NCC[C@H](N)C(=O)O	CC1=N[C@H](C(=O)O)CCN1
Cc1cccc(C=O)c1F	O=Cc1ccccc1F
CC(=O)CCl.Sc1ccccc1Br	CC(=O)CSc1ccccc1Br
CCCCC(C)I.OC1CCNCC1	CCCCCCN1CCC(O)CC1
CCCCCCI.OCC1CCCCN1	CCCCCCN1CCCCC1CO
CCCCCCI.OCC1CCCNC1	CCCCCCN1CCCC(CO)C1
C1CCC2OC2C1.C1CCNCC1	OC1CCCCC1N1CCCCC1
COc1cccc(C=O)c1C.NO	COc1cccc(C#N)c1C
C=Cc1cccc(Br)c1.[OH-]	OCCc1cccc(Br)c1
BrCc1ccccc1Br.CNC	CN(C)Cc1ccccc1Br
O=Cc1cccc2c1OCC2	O=Cc1cccc2ccoc12
N#C[O-].NCc1ccc(Cl)cc1	NC(=O)NCc1ccc(Cl)cc1
N#C[O-].NCc1ccncc1	NC(=O)NCc1ccncc1
N#C[O-].NCc1cccc(Cl)c1	NC(=O)NCc1cccc(Cl)c1
CCOC(=O)c1csc(Br)n1	O=C(O)c1csc(Br)n1
CCOC(=O)c1cnc(Br)s1	O=C(O)c1cnc(Br)s1
COc1cccc2ccoc12.CSSC	COc1cccc2cc(SC)oc12
COc1cccc(C=O)c1OCC=O	COc1cccc2cc(C=O)oc12
Brc1ccc(Br)nc1.CCO	CCOc1ccc(Br)cn1
CC[O-].Fc1cnc(Cl)nc1Cl	CCOc1nc(Cl)ncc1F
CC[O-].Clc1ccnc(Cl)n1	CCOc1ccnc(Cl)n1
CCCSc1nsnc1Cl.[OH-]	CCCSc1nsnc1O
Brc1ccsc1.C#CCO	OCC#Cc1ccsc1
C#CCO.Ic1cccs1	OCC#Cc1cccs1
CCOC(=O)C1CCC(=O)CC1	O=C1CCC(C(=O)O)CC1
C=CCBr.C=COCCO	C=CCOCCOC=C
OCCCCCCCCCCO	CCCCCCCCCCO
C#CCO.Oc1ccccc1I	OCc1cc2ccccc2o1
CCO.O=C(O)C1CNCCN1	CCOC(=O)C1CNCCN1
CC(=O)c1cccc(N)c1O	CC(=O)c1ccccc1
COc1cccc(F)c1.II	COc1cccc(F)c1I
CCC1=CC(CC)COC1O	CCC(CO)CC(CC)CO
CCCc1cc(OC)cc[n+]1[O-]	CCCc1cc(OC)ccn1
CCCCCC(=O)O.[NH4+]	CCCC(N)CC(=O)O
O=C1CN2CCC1CC2	OC1CN2CCC1CC2
CC(=O)c1ccc(Cl)cc1	CC(O)c1ccc(Cl)cc1
O=C1CN2CCC1CC2	OC1CN2CCC1CC2
N.N#Cc1cc(F)c(F)cc1F	N#Cc1cc(F)c(N)cc1F
C=CCBr.OCC1CC=CCC1	C=CCOCC1CC=CCC1
CS.N#Cc1ccc(CBr)cc1	CSCc1ccc(C#N)cc1
O=C(O)c1cc(I)ccc1O	OCc1cc(I)ccc1O
CC1(C)CC(=O)CC(=O)C1	CC1(C)CC(O)CC(O)C1
NCCCO.O=Cc1ccccc1	OCCCNCc1ccccc1
NCCNCCN.O=Cc1ccccc1	NCCNCCNCc1ccccc1
NCCN.O=Cc1ccccc1	NCCNCc1ccccc1
CCCC(=O)CC(=O)OCC.N	CCCC(N)=CC(=O)OCC
Oc1cccc2[nH]ccc12	c1ccc2c(c1)CCN2
CCCCCCCCCCO.OCCCl	CCCCCCCCCCOCCO
COc1cccc(Cl)n1.NN	COc1cccc(NN)n1
CCOCC.Oc1ccc(O)cc1	c1ccc2c(c1)CCCO2
COc1ccccc1CCO.[Br-]	COc1ccccc1CCBr
COc1ccccc1CCBr	Oc1ccccc1CCBr
CCI.Sc1ccccc1Br	CCSc1ccccc1Br
C=CCc1ccccc1CC.CO	CCc1ccccc1CC=O
CCc1ccccc1CC=O.[OH-]	CCc1ccccc1CC(=O)O
COc1cccc2c1nc(C)n2C	Cc1nc2c(O)cccc2n1C
COc1cccc2cc(CO)oc12	COc1cccc2cc(C)oc12
CCOC(=O)Cc1ccncc1	CCOC(=O)CC1CCNCC1
ClCCCBr.O=C1CCCCN1	O=C1CCCCN1CCCCl
COC=O.NN1CCCCC1	O=CNN1CCCCC1
C#CCO.C1COCCN1.C=O	OCC#CCN1CCOCC1
CCOC(=O)CCc1cnn(C)c1	Cn1cc(CCCO)cn1
O=C([O-])Cc1ccccc1	O=C(O)Cc1ccccc1
CC(C)(C)N.OC[C@H]1CO1	CC(C)(C)NC[C@H](O)CO
CCOC(=O)C1CCC(=O)CC1	OCC1CCC(O)CC1
CC(=O)c1ccccc1	CC(O)c1ccccc1
CC(=O)c1ccccc1	CC(O)c1ccccc1
O=C(O)CCCCc1cccs1	O=C1CCCCc2sccc21
CO.NC1(C(=O)O)CCOCC1	COC(=O)C1(N)CCOCC1
CC(C)=O.Nc1ccccc1	C1=Cc2ccccc2NC1
CSSC.O=Cc1cc(Br)cs1	CSc1csc(C=O)c1
COC(=O)c1cccnc1Cl.NO	O=C(NO)c1cccnc1Cl
O=C(NO)c1cccnc1Cl	Oc1noc2ncccc12
COc1cccc(F)c1C(=O)NO	COc1cccc2onc(O)c12
C1CNCCNC1.CCI	CCN1CCCNCC1
CCOC(=O)C=Cc1ccccc1O	O=C(O)/C=C/c1ccccc1O
ClBr.O=C(Cl)c1ccccc1	O=C(Cl)c1cccc(Br)c1
N.O=C(O)c1c(O)cccc1F	NC(=O)c1c(O)cccc1F
C=CCOc1ccc(Br)cc1C=O	C=CCOc1ccc(Br)cc1CO
O=Cc1ccc(Cl)cc1F	OCc1ccc(Cl)cc1F
CCI.OCCc1ccccc1O	CCOc1ccccc1CCO
CCOc1ccccc1CCO.[Br-]	CCOc1ccccc1CCBr
C=C(Br)CBr.CCNCC	CCN(C=C(C)Br)CC
Clc1ccccc1.Nc1ccccc1	c1ccc(Nc2ccccc2)cc1
C1COCCN1.Cc1ccccc1Br	Cc1ccccc1N1CCOCC1
CCCOCCCC(C)=O	CCCOCCCC(C)O
CCC(=O)c1cccc(Br)c1	CCCc1cccc(Br)c1
NC(=O)Cc1csc(N)n1	N#CCc1csc(N)n1
COc1cccc2c1C(=O)C2	COc1cccc2c1C(O)C2
C=CC(=O)Cl.CSCCCO	C=CC(=O)OCCCSC
C=CC(=O)OCCCSCCCSC	C=CC(=O)OCCCSC
O=C(CCCCCl)Cc1ccccc1	OC(CCCCCl)Cc1ccccc1
CS(=O)(=O)Cl.OCCCCl	CS(=O)(=O)C(O)CCCl
C[C@](O)(C#N)C(F)(F)F	CC(O)(C#N)C(F)(F)F
CI.Oc1ncccc1Br	COc1ncccc1Br
C1CCOC1.O.O=C1CCNCC1	CCOC(=O)C=C1CCNCC1
CCOC(=O)C=C1CCNCC1	OCC=C1CCNCC1
N#CCC1(CC#N)CC1	N#CCC1(CCN)CC1
C[n+]1ccc2c(N)cccc2c1	CN1CCc2c(N)cccc2C1
Nc1cccc2cnccc12	Nc1cccc2c1CCNC2
CCI.Nc1cccc2cnccc12	CCN1CCc2c(N)cccc2C1
CCCI.Nc1cccc2cnccc12	CCCN1CCc2c(N)cccc2C1
N#CCOc1cccc2[nH]ccc12	NCCOc1cccc2[nH]ccc12
N#CCCn1cnc(N)c1	NCCCn1cnc(N)c1
Cc1ccnc(Cl)c1C#N.[OH-]	Cc1ccnc(Cl)c1C(N)=O
CC(C)(C)c1ccccc1O	CC(C)(C)C1CCCCC1O
CC(=O)O.N#Cc1cccnc1	COC(=N)c1cccnc1
COC(COc1ccccc1Br)OC	Brc1cccc2ccoc12
CC(=O)O.NNc1ccccc1	O=CNNc1ccccc1
O=CNNc1ccccc1	CNNc1ccccc1
Brc1ccc(Br)nc1.COCCO	COCCOc1ccc(Br)cn1
CCO.N#Cc1cc(C=O)cs1	N#Cc1sccc1CO
N#C[Cu].O=Cc1cc(Br)cs1	N#Cc1csc(C=O)c1
N#Cc1csc(C=NO)c1	N#Cc1csc(CN)c1
CCOC(=O)c1cc(CCl)on1	O=C(O)c1cc(CCl)on1
N.O=C(Cl)c1cc(CCl)on1	NC(=O)c1cc(CCl)on1
N#Cc1ccc(C=O)o1	N#Cc1ccc(CO)o1
CC(=O)CCC(=O)O.CCO	CCOC(=O)CCC(C)=O
CCOC(=O)c1coc(C)c1	Cc1cc(C(=O)O)co1
COCCl.Cn1cccc1C#N	Cn1cc(C=O)cc1C#N
CCOc1cccc(C(C)=O)n1	CC(=O)c1cccc(O)n1
Cc1ccccc1[N+](=O)[O-]	Cc1ccccc1NO
Cc1ccc(CCC(=O)Cl)cc1	Cc1ccc(CCC=O)cc1
NCCCCO.O=Cc1ccccc1	OCCCCNCc1ccccc1
C=O.Cc1ccc(NCCO)cc1	Cc1ccc(N(C)CCO)cc1
CC=O.Cc1ccc(NCCO)cc1	CCN(CCO)c1ccc(C)cc1
N#Cc1ccc(CC(N)=O)cc1	NCc1ccc(CC(N)=O)cc1
COC(=O)c1cncnc1O	O=C(O)c1cncnc1O
ClP(Cl)Cl.Clc1ccccc1	Clc1ccc(P(Cl)Cl)cc1
C=C(C)C(=O)Cl.NCCO	C=C(C)C(=O)NCCO
C=CC(=O)Cl.NCCCO	C=CC(=O)NCCCO
Clc1cccc2ccccc12	c1ccc2ccccc2c1
COC(=O)Cl.c1cc[nH]c1	COC(=O)n1cccc1
O=C([O-])CNCC(=O)[O-]	O=C(O)CNCC(=O)O
CC(C)C1Cc2ccccc2C1O	CC(C)C1=Cc2ccccc2C1
CCOC(=O)C1CCCN(C)C1	CN1CCCC(C(=O)O)C1
O=C1CCCO1.[N-]=[N+]=[N-]	[N-]=[N+]=NC1CCOC1=O
O=C(CCl)c1ccccc1	OC(CCl)c1ccccc1
COc1ccccc1OC(C)C#N	COc1ccccc1OC(C)CN
Brc1ccc2c(c1)C=NCC2	Brc1ccc2c(c1)CNCC2
CC(Br)C(=O)O.OCCO	CC(Br)C(=O)OCCO
C=CC(CO)OC.CC(=O)[O-]	C=CC(COC(C)=O)OC
CS(=O)(=O)Cl.OCCCCl	CS(=O)(=O)C(O)CCCl
O=C1c2ccccc2C(=O)N1O	O=C1NC(=O)c2ccccc21
CCOCC.C[Si](C)(Cl)CCl	C[Si](C)(CCl)c1ccco1
CC(C)C(O)C(N)C(=O)O	CC(C)C[C@H](N)C(=O)O
O=Cc1cccc(Cl)c1Cl	OCc1cccc(Cl)c1Cl
O=Cc1cccc(Cl)c1Cl	OCc1cccc(Cl)c1Cl
CN.ClCc1cccnc1	CNCc1cccnc1
ClCc1ccc(Cl)nc1	ClCc1ccc(Cl)nc1
O=C1CCCO1.Sc1ccccc1	O=C(O)CCCSc1ccccc1
NCCCCCCN.O=C1CCCO1	NCCCCCCN1CCCC1=O
BrBr.CCc1cccc(CC)c1N	CCc1cc(Br)cc(CC)c1N
c1ccc(Oc2ccncc2)cc1	c1ccc(OC2CCNCC2)cc1
C1CCNCC1.Clc1ccccc1	c1ccc(N2CCCCC2)cc1
Clc1ccccc1.Nc1ccccc1	c1ccc(Nc2ccccc2)cc1
C1CCNCC1.Clc1ccccc1	c1ccc(C2CCNCC2)cc1
C1CCNCC1.Clc1ccccc1	c1ccc(N2CCCCC2)cc1
CN.CNC(=N)O[N+](=O)[O-]	CN=C(NC)O[N+](=O)[O-]
CN.CNC(=N)O[N+](=O)[O-]	CN=C(NC)O[N+](=O)[O-]
Cc1ccc(O)c(C=O)c1	O=Cc1ccccc1O
NCCCN.c1ccncc1	NCCCNc1ccccn1
COc1ccc(C(=O)CBr)cc1	COc1ccc(C(O)CBr)cc1
CN(C)C=O.Clc1ccncc1	O=Cc1cnccc1Cl
NCC(=O)O.O=Cc1ccccc1	O=C1Cc2ccccc2C(=O)O1
CCN.Nc1nc(N)nc(Cl)n1	CCNc1nc(N)nc(N)n1
CN.N#Cc1ccccc1F	CNc1ccccc1C#N
CN.N#Cc1ccc(F)cc1	CNc1ccc(C#N)cc1
CCCN.N#Cc1ccc(F)cc1	CCCNc1ccc(C#N)cc1
CCN.N#Cc1ccc(F)cc1	CCNc1ccc(C#N)cc1
N#Cc1ccc(F)cc1.NCCO	N#Cc1ccc(NCCO)cc1
COCCN.N#Cc1ccccc1F	COCCNc1ccccc1C#N
CNCCO.N#Cc1ccccc1F	CN(CCO)c1ccccc1C#N
CCCN.N#Cc1ccccc1F	CCCNc1ccccc1C#N
CC(C)N.N#Cc1ccccc1F	CC(C)Nc1ccccc1C#N
C1CCNC1.N#Cc1ccccc1F	N#Cc1ccccc1N1CCCC1
CC(C)CN.N#Cc1ccccc1F	CC(C)CNc1ccccc1C#N
N#Cc1ccccc1F.NCCCCO	N#Cc1ccccc1NCCCCO
N#Cc1ccccc1F.NC1CCC1	N#Cc1ccccc1NC1CCC1
Nc1cc(F)cc(F)c1.[F-]	Fc1cc(F)cc(F)c1
Fc1cc(F)cc(F)c1.N	Nc1cc(F)cc(F)c1
Fc1cc(F)cc(F)c1.N	Nc1cc(F)cc(F)c1
O=Cc1ccc(F)cc1F	Cc1ccc(F)cc1F
CC(=O)c1ccc(O)cc1	C#Cc1ccc(O)cc1
O=CNCCCc1ccccc1	CNCCCc1ccccc1
COc1cccc2nc(C)sc12	Cc1nc2cccc(O)c2s1
C1CCOC1.O=C1CCOCC1	C#CC1(O)CCOCC1
C#CCBr.O[C@@H]1CCNC1	C#CCN1CC[C@@H](O)C1
C#CCN1CC[C@@H](O)C1	C#CCN1CC[C@H](O)C1
C/C=C\C.Cc1ccccc1N	Cc1ccccc1N1CC=CC1
CCN(CC)CC.NCc1ccccc1	C1=CCN(Cc2ccccc2)C1
C#CC(C)(O)CCC=C(C)C	C=CC(C)(O)CCC=C(C)C
C=CC(=O)Cl.O=C1CCCN1	C=CC(=O)N1CCCC1=O
C1CO[C@@H]2CNC[C@H]2N1	C1CO[C@@H]2CNC[C@H]2N1
CCOCC.Cc1cc(N)cnc1Cl	Cc1cc(O)cnc1Cl
C=Cc1cc(N)cnc1F	CCc1cc(N)cnc1F
CCc1cc(OC(C)=O)cnc1F	CCc1cc(O)cnc1F
C[S-].Cc1cc(C#N)cnc1F	CSc1ncc(C#N)cc1C
COc1ccc2c(c1)NCCC2=O	O=C1CCNc2cc(O)ccc21
CCOC(=O)C(C)n1ccnc1	CC(CO)n1ccnc1
C1CCOC1.CCOCC.CC[Mg]Br	CCC(=O)CCCc1ccccc1
C[C@@H](N)CO.Clc1ccccn1	C[C@H](CO)Nc1ccccn1
Br.Cc1cccc(Cl)c1Br	Clc1cccc(CBr)c1Br
Br.Cc1ccc(Cl)cc1F	Fc1cc(Cl)ccc1CBr
C1=COCC1.Ic1ccccc1	C1=COC(c2ccccc2)C1
Cc1cc(Br)c(N)cc1F.Cl	Cc1cc(Br)c(Cl)cc1F
C[O-].Nc1ccc(F)c(F)c1	COc1cc(N)ccc1F
Nc1cc(Cl)ccc1O.[I-]	Oc1ccc(Cl)cc1I
C=C(C)C(O)Cc1ccccc1	C=C(C)C#Cc1ccccc1
CC(C)=O.CCOC(=O)CC#N	CCOC(=O)C(C#N)=C(C)C
CC(C)=O.CCOC(=O)CC#N	CCOC(=O)C(C#N)=C(C)C
NO.O=C(Cl)c1ccccc1	O=C(NO)c1ccccc1
C=O.Cc1c[nH]nc1C	Cc1cn(CO)nc1C
C=O.Cc1n[nH]cc1Cl	Cc1nn(CO)cc1Cl
CC(=O)OCc1ccc(C)cn1	Cc1ccc(CO)nc1
CCc1ccc(COC(C)=O)nc1	CCc1ccc(CO)nc1
ClCC=C(Cl)Cl.OCCCO	OCCCOCC=C(Cl)Cl
ClCC=C(Cl)Cl.OCCCCO	OCCCCOCC=C(Cl)Cl
C=CCCl.OCCCCCO	OCCCCCOC=CCCl
CCOC(CBr)OCC.OCCCCO	CCOC(COCCCCO)OCC
BrP(Br)Br.OCc1ccccc1I	BrCc1ccccc1I
O=C(C1CCCN1)N1CCCC1	C1CNC(CN2CCCC2)C1
CC(C)(O)CN.CCN=C=O	CCNC(=O)NCC(C)(C)O
CCNC(=O)NCC(C)(C)O	CCNC1=NCC(C)(C)O1
CSCC(N)=NO.O=C(Cl)CCl	CSCC(N)=NOC(=O)CCl
BrCCCBr.O=C(O)CO	O=C(O)COCCCBr
CC(=O)OCCCCCCl.[I-]	CC(=O)OCCCCCI
COCCl.Cc1cccc(O)c1	COCOc1cccc(C)c1
CN.N#Cc1ccc(CBr)cc1	CNCc1ccc(C#N)cc1
CCC(O)CN.O=C1CCCCC1	CCC(O)CNC1CCCCC1
CCC1CO1.NC1CCCCC1	CCC(O)CNC1CCCCC1
CNC1CCCCC1.O=N[O-]	CN(N)C1CCCCC1
CCCCO.COC(=O)CCl.C[O-]	CCCCOC(=O)COC
CCCCCCCCO.COCC(=O)OC	CCCCCCCCOC(=O)COC
CCc1cccc(N)c1.N#CBr	CCc1cccc(NC#N)c1
CC(=O)c1ccc(F)c(N)c1	CCc1ccc(F)c(N)c1
C[S-].Nc1cncc(Cl)n1	CSc1cncc(N)n1
Cc1nc(C(C)C)c(I)[nH]1	Cc1nc(C(C)C)c[nH]1
CC(=O)O.CC1CCOC1	CC(=O)OCC1CCOC1
CI.O=Cc1cc(Br)c[nH]1	Cn1cc(Br)cc1C=O
N#Cc1c(N)cc(N)nc1Br	N#Cc1cnc(N)cc1N
CCCI.Oc1ccc(I)nc1	CCCOc1ccc(I)nc1
CCCCCCCCN=C=O.CCCCCN	CCCCCCCCNC(=O)NCCCCC
NC=Cc1ccccc1.O=N[O-]	C=Cc1ccc(N)cc1
NC=Cc1ccccc1.O=N[O-]	C=Cc1ccc(N)cc1
COC(CN)OC.ClC1CNCCN1	COC(CNc1cnccn1)OC
Fc1ccc(CBr)cc1I.[C-]#N	N#CCc1ccc(F)c(I)c1
O=[N+]([O-])c1ccc(O)cc1	O=[N+]([O-])c1ccccc1
NO.OCC(O)c1ccccc1	O=C(O)c1ccccc1
O=C(CCl)c1ccccc1	OC(CCl)c1ccccc1
CC(=O)c1ccccc1	CC(O)c1ccccc1
CC(=O)c1ccccc1	CC(O)c1ccccc1
CCOC(=O)Cc1csc(S)n1	O=C(O)Cc1csc(S)n1
CCOC(=O)Cc1sc(S)nc1C	Cc1nc(S)sc1CCO
N#CBr.Nc1cc(Cl)ccc1Cl	N#CNc1cc(Cl)ccc1Cl
CC12CCCCC1CCC2.CCO	OC1CCCC2CCCC12
CC1CO1.O=C1C=NN=N1	O=C1N=NN=C1CCCO
CC(=O)O.NCC(=O)O	O=C(O)CNCC(=O)O
C1CCOC1.C=O.CNC(C)=O	CC(=O)N(C)CC(=O)O
CC=CC(C)=O.SCc1ccco1	CC(=O)CC(C)SCc1ccco1
N#CCCN(CCC#N)CCC#N	NCCCN(CCCN)CCCN
C=CC(=O)O.O=C1CCCCC1	O=C(O)CCC1CCCCC1=O
CC#CC1=CCCCC1	C#CC=C1CCCCC1
CN(C)CC(=O)O.CNO	CN(C)CC(=O)N(C)O
Clc1ccncc1.Oc1ccccc1	c1ccc(Oc2ccncc2)cc1
OCCCl.Oc1ccccc1O	OCCOc1ccccc1O
CCCI.Oc1cc(O)nc(S)n1	CCCSc1nc(O)cc(O)n1
O=Cc1cccc(Br)c1.OCCO	Brc1cccc(C2OCCO2)c1
CO.O=C(O)c1ccc(I)cc1	COC(=O)c1ccc(I)cc1
Brc1cccnc1.COB(OC)OC	OB(O)c1cccnc1
CNOC.O=C(O)Cc1cccnc1	CON(C)C(=O)Cc1cccnc1
CON(C)C(=O)Cc1cccnc1	O=CCc1cccnc1
NCCNCCNCCN.O=CC=O	C1CNCCNCCNCCN1
NCCNCCNCCN.O=CC=O	C1CNCCNCCNCCN1
NCCNCCNCCN.O=CC=O	C1CNCCNCCNCCN1
NC(CC(=O)O)c1ccccc1	NC(CCO)c1ccccc1
COc1ccc(F)c(N(C)C)c1	CN(C)c1cc(O)ccc1F
Nc1ccccc1.O=C(Br)CBr	O=C(CBr)Nc1ccccc1
CCCCNCCCC.O=C(Br)CBr	CCCCN(CCCC)C(=O)CBr
C=CC(=O)O.c1cn[nH]c1	O=C(O)CCn1cccn1
CCCNOCCC.O=C(Br)CBr	CCCON(CCC)C(=O)CBr
CCCCNC(=O)CCCO	CCCCNCCCCO
CCCC=O.Nc1cccnc1	CCCCNc1cccnc1
CCCCBr.Nc1cccc(CO)c1	CCCCNc1cccc(CO)c1
CCCCNOCCC.O=C(Br)CBr	CCCCN(OCCC)C(=O)CBr
CCCCN.O=C1CCCO1	CCCCNC(=O)CCCO
Brc1cccs1.[Li]c1cccs1	BrCCCCc1cccs1
ClCCCCI.[Li]c1ccsc1	ClCCCCc1ccsc1
CC(=O)CO.CC(N)CO	CC(CO)NC(C)CO
COC(=O)c1snnc1C	Cc1nnsc1C(=O)O
N#CCSc1cc(Cl)cc(Cl)c1	NCCSc1cc(Cl)cc(Cl)c1
O=C(Cl)CCCCCl.c1ccsc1	O=C(CCCCCl)c1cccs1
ClCCCI.Oc1cccnc1	ClCCCOc1cccnc1
CN.ClCCCOc1cccnc1	CNCCCOc1cccnc1
ClCCCI.Oc1cncc(Br)c1	ClCCCOc1cncc(Br)c1
CN.ClCCCOc1cncc(Br)c1	CNCCCOc1cncc(Br)c1
CC(NNC=NN)C(=O)O	CC(NNC=NN)C(=O)O
ClCCCCc1ccccc1.[I-]	ICCCCc1ccccc1
Clc1nc(Cl)c2ccccc2n1	Clc1ncc2ccccc2n1
